way,node1,node2,count
https://www.openstreetmap.org/way/917649900,https://www.openstreetmap.org/node/6986499936,https://www.openstreetmap.org/node/8523023224,1
https://www.openstreetmap.org/way/27197338,https://www.openstreetmap.org/node/298458135,https://www.openstreetmap.org/node/298458427,1
https://www.openstreetmap.org/way/1082616320,https://www.openstreetmap.org/node/9921813494,https://www.openstreetmap.org/node/9921813493,5
https://www.openstreetmap.org/way/1097626531,https://www.openstreetmap.org/node/2327383638,https://www.openstreetmap.org/node/10050357818,40
https://www.openstreetmap.org/way/137325800,https://www.openstreetmap.org/node/1563981628,https://www.openstreetmap.org/node/1563982146,2
https://www.openstreetmap.org/way/1042422263,https://www.openstreetmap.org/node/1587161065,https://www.openstreetmap.org/node/298530086,4
https://www.openstreetmap.org/way/97030527,https://www.openstreetmap.org/node/1545694042,https://www.openstreetmap.org/node/224955743,1
https://www.openstreetmap.org/way/385010167,https://www.openstreetmap.org/node/979888876,https://www.openstreetmap.org/node/3883616390,1
https://www.openstreetmap.org/way/188089427,https://www.openstreetmap.org/node/1987133238,https://www.openstreetmap.org/node/1987133186,2
https://www.openstreetmap.org/way/629296370,https://www.openstreetmap.org/node/2420383513,https://www.openstreetmap.org/node/2420383511,12
https://www.openstreetmap.org/way/144682085,https://www.openstreetmap.org/node/1582076234,https://www.openstreetmap.org/node/1582076233,1
https://www.openstreetmap.org/way/631351566,https://www.openstreetmap.org/node/5241420348,https://www.openstreetmap.org/node/4202958000,1
https://www.openstreetmap.org/way/1191918659,https://www.openstreetmap.org/node/295467550,https://www.openstreetmap.org/node/11065741891,4
https://www.openstreetmap.org/way/26962013,https://www.openstreetmap.org/node/295444914,https://www.openstreetmap.org/node/4497474414,19
https://www.openstreetmap.org/way/951264792,https://www.openstreetmap.org/node/8805004582,https://www.openstreetmap.org/node/8805004583,244
https://www.openstreetmap.org/way/1230013758,https://www.openstreetmap.org/node/2256232522,https://www.openstreetmap.org/node/2256232487,11
https://www.openstreetmap.org/way/45832103,https://www.openstreetmap.org/node/25763415,https://www.openstreetmap.org/node/10577493668,4
https://www.openstreetmap.org/way/398455690,https://www.openstreetmap.org/node/295598526,https://www.openstreetmap.org/node/295598422,2
https://www.openstreetmap.org/way/41474981,https://www.openstreetmap.org/node/1987119576,https://www.openstreetmap.org/node/507416675,9
https://www.openstreetmap.org/way/218059067,https://www.openstreetmap.org/node/2273603618,https://www.openstreetmap.org/node/4677570125,7
https://www.openstreetmap.org/way/476612214,https://www.openstreetmap.org/node/603303997,https://www.openstreetmap.org/node/603303446,10
https://www.openstreetmap.org/way/495988399,https://www.openstreetmap.org/node/3121053456,https://www.openstreetmap.org/node/5138796243,11
https://www.openstreetmap.org/way/113144651,https://www.openstreetmap.org/node/1283988901,https://www.openstreetmap.org/node/1283988877,1
https://www.openstreetmap.org/way/148465082,https://www.openstreetmap.org/node/1615657757,https://www.openstreetmap.org/node/1757441014,2
https://www.openstreetmap.org/way/682811226,https://www.openstreetmap.org/node/4403234595,https://www.openstreetmap.org/node/4403234597,1
https://www.openstreetmap.org/way/684058693,https://www.openstreetmap.org/node/420353324,https://www.openstreetmap.org/node/333681332,8
https://www.openstreetmap.org/way/23846338,https://www.openstreetmap.org/node/4181516853,https://www.openstreetmap.org/node/257090265,12
https://www.openstreetmap.org/way/143275682,https://www.openstreetmap.org/node/5638137469,https://www.openstreetmap.org/node/426012745,10
https://www.openstreetmap.org/way/81973316,https://www.openstreetmap.org/node/7725869763,https://www.openstreetmap.org/node/667196620,1
https://www.openstreetmap.org/way/336607723,https://www.openstreetmap.org/node/1026410971,https://www.openstreetmap.org/node/1026414668,2
https://www.openstreetmap.org/way/23658692,https://www.openstreetmap.org/node/447563432,https://www.openstreetmap.org/node/256328856,4
https://www.openstreetmap.org/way/956092147,https://www.openstreetmap.org/node/430336339,https://www.openstreetmap.org/node/589527709,1
https://www.openstreetmap.org/way/24825815,https://www.openstreetmap.org/node/3035754188,https://www.openstreetmap.org/node/3035754189,2
https://www.openstreetmap.org/way/148361234,https://www.openstreetmap.org/node/1614738737,https://www.openstreetmap.org/node/1614738880,2
https://www.openstreetmap.org/way/204175938,https://www.openstreetmap.org/node/4273013826,https://www.openstreetmap.org/node/2141930305,1
